# name:     Al2O3  corundum
# formula:  Al2O3
# sites:    Al1,O1
# refer1:   Wyckoff vol 2, V, p 6-8
# schoen:   D_3d^6
# POT  SCF  30  4.2000   0, core-hole, AFOLP (folp(0)= 1.150)
#   omega (eV)      epsilon_1       epsilon_2       n               kappa           mu (cm^(-1))    R               epsinv   
    0.100000E+00    0.256443E+01    0.114347E+00    0.888213E+00    0.302791E-01    0.306893E-02    0.946744E-01    0.899077E-02
    0.124689E+00    0.256443E+01    0.868234E-01    0.888110E+00    0.229921E-01    0.290571E-02    0.946171E-01    0.682966E-02
    0.152100E+00    0.253826E+01    0.753564E-01    0.881134E+00    0.200295E-01    0.308775E-02    0.935751E-01    0.601648E-02
    0.182231E+00    0.252705E+01    0.678866E-01    0.878132E+00    0.180729E-01    0.333806E-02    0.931247E-01    0.545506E-02
    0.215084E+00    0.251797E+01    0.666157E-01    0.875710E+00    0.177575E-01    0.387108E-02    0.927667E-01    0.538067E-02
    0.250658E+00    0.251034E+01    0.582613E-01    0.873654E+00    0.155475E-01    0.394990E-02    0.924559E-01    0.472676E-02
    0.288953E+00    0.250755E+01    0.513020E-01    0.872896E+00    0.136959E-01    0.401107E-02    0.923383E-01    0.416901E-02
    0.329969E+00    0.250764E+01    0.454680E-01    0.872909E+00    0.121383E-01    0.405953E-02    0.923358E-01    0.369490E-02
    0.373706E+00    0.250989E+01    0.405435E-01    0.873500E+00    0.108203E-01    0.409837E-02    0.924196E-01    0.329062E-02
    0.420164E+00    0.251404E+01    0.363576E-01    0.874602E+00    0.969742E-02    0.412970E-02    0.925793E-01    0.294399E-02
    0.469344E+00    0.252005E+01    0.327752E-01    0.876199E+00    0.873447E-02    0.415500E-02    0.928125E-01    0.264491E-02
    0.521245E+00    0.252801E+01    0.296892E-01    0.878315E+00    0.790316E-02    0.417528E-02    0.931228E-01    0.238512E-02
    0.575867E+00    0.253821E+01    0.270145E-01    0.881026E+00    0.718079E-02    0.419119E-02    0.935211E-01    0.215777E-02
    0.633210E+00    0.255111E+01    0.249777E-01    0.884449E+00    0.662732E-02    0.425333E-02    0.940247E-01    0.198063E-02
    0.693274E+00    0.256577E+01    0.255752E-01    0.888337E+00    0.677188E-02    0.475836E-02    0.945982E-01    0.201136E-02
    0.756059E+00    0.258179E+01    0.256684E-01    0.892574E+00    0.678135E-02    0.519655E-02    0.952231E-01    0.200067E-02
    0.821565E+00    0.260046E+01    0.254183E-01    0.897500E+00    0.669783E-02    0.557725E-02    0.959498E-01    0.196069E-02
    0.889793E+00    0.262265E+01    0.249375E-01    0.903338E+00    0.655098E-02    0.590797E-02    0.968113E-01    0.190011E-02
    0.960742E+00    0.264931E+01    0.243055E-01    0.910327E+00    0.636160E-02    0.619464E-02    0.978431E-01    0.182500E-02
    0.103441E+01    0.268186E+01    0.235783E-01    0.918827E+00    0.614393E-02    0.644144E-02    0.990988E-01    0.173924E-02
    0.111080E+01    0.272021E+01    0.258936E-01    0.928797E+00    0.671236E-02    0.755711E-02    0.100574E+00    0.187083E-02
    0.118991E+01    0.276454E+01    0.281312E-01    0.940256E+00    0.724936E-02    0.874296E-02    0.102269E+00    0.198491E-02
    0.127175E+01    0.281792E+01    0.296776E-01    0.953965E+00    0.759419E-02    0.978871E-02    0.104299E+00    0.203586E-02
    0.135630E+01    0.288493E+01    0.306892E-01    0.971038E+00    0.778504E-02    0.107019E-01    0.106827E+00    0.203326E-02
    0.144358E+01    0.296855E+01    0.368788E-01    0.992144E+00    0.925605E-02    0.135428E-01    0.109956E+00    0.234139E-02
    0.153357E+01    0.307371E+01    0.448419E-01    0.101837E+01    0.111084E-01    0.172664E-01    0.113845E+00    0.270180E-02
    0.162629E+01    0.321801E+01    0.511181E-01    0.105382E+01    0.124447E-01    0.205128E-01    0.119096E+00    0.287274E-02
    0.172173E+01    0.342396E+01    0.796190E-01    0.110341E+01    0.189262E-01    0.330272E-01    0.126446E+00    0.406682E-02
    0.181989E+01    0.376837E+01    0.112910E+00    0.118381E+01    0.258516E-01    0.476843E-01    0.138309E+00    0.496306E-02
    0.192077E+01    0.438227E+01    0.342046E+00    0.132114E+01    0.736806E-01    0.143441E+00    0.158657E+00    0.117599E-01
    0.200000E+01    0.474227E+01    0.138601E+01    0.141345E+01    0.287143E+00    0.582064E+00    0.177286E+00    0.397197E-01
    0.200136E+01    0.474330E+01    0.140685E+01    0.141417E+01    0.291374E+00    0.591044E+00    0.177556E+00    0.402363E-01
    0.200544E+01    0.474100E+01    0.146893E+01    0.141526E+01    0.304095E+00    0.618105E+00    0.178236E+00    0.418299E-01
    0.201225E+01    0.472838E+01    0.157123E+01    0.141540E+01    0.325252E+00    0.663351E+00    0.179186E+00    0.445320E-01
    0.202177E+01    0.469776E+01    0.171206E+01    0.141321E+01    0.354726E+00    0.726888E+00    0.180284E+00    0.483692E-01
    0.203401E+01    0.463963E+01    0.188914E+01    0.140700E+01    0.392428E+00    0.809016E+00    0.181407E+00    0.534044E-01
    0.204898E+01    0.454130E+01    0.209968E+01    0.139448E+01    0.438442E+00    0.910529E+00    0.182403E+00    0.597951E-01
    0.206667E+01    0.438172E+01    0.234040E+01    0.137174E+01    0.493394E+00    0.103349E+01    0.183009E+00    0.679552E-01
    0.208708E+01    0.411388E+01    0.260769E+01    0.132962E+01    0.559682E+00    0.118392E+01    0.182562E+00    0.791366E-01
    0.211021E+01    0.374058E+01    0.275357E+01    0.126085E+01    0.608969E+00    0.130246E+01    0.178170E+00    0.916169E-01
    0.213606E+01    0.338419E+01    0.270947E+01    0.118381E+01    0.620353E+00    0.134306E+01    0.169771E+00    0.102004E+00
    0.216463E+01    0.309553E+01    0.266233E+01    0.111900E+01    0.628205E+00    0.137825E+01    0.162683E+00    0.111575E+00
    0.219592E+01    0.280874E+01    0.261245E+01    0.105272E+01    0.636339E+00    0.141628E+01    0.155609E+00    0.122470E+00
    0.222994E+01    0.253838E+01    0.245515E+01    0.980543E+00    0.619817E+00    0.140088E+01    0.145195E+00    0.132368E+00
    0.226667E+01    0.233818E+01    0.225015E+01    0.918844E+00    0.586331E+00    0.134702E+01    0.134040E+00    0.138842E+00
    0.230613E+01    0.221090E+01    0.203445E+01    0.872441E+00    0.543261E+00    0.126980E+01    0.123599E+00    0.140803E+00
    0.234831E+01    0.214987E+01    0.182327E+01    0.842469E+00    0.494790E+00    0.117766E+01    0.114671E+00    0.137647E+00
    0.239320E+01    0.213640E+01    0.164834E+01    0.827507E+00    0.450980E+00    0.109391E+01    0.108335E+00    0.131300E+00
    0.244082E+01    0.216592E+01    0.147538E+01    0.824658E+00    0.404291E+00    0.100017E+01    0.103598E+00    0.120935E+00
    0.249117E+01    0.223869E+01    0.134994E+01    0.836771E+00    0.367475E+00    0.927843E+00    0.102077E+00    0.109649E+00
    0.254423E+01    0.232680E+01    0.127577E+01    0.856047E+00    0.343679E+00    0.886241E+00    0.102830E+00    0.100493E+00
    0.260001E+01    0.244099E+01    0.120303E+01    0.882316E+00    0.319562E+00    0.842120E+00    0.104711E+00    0.905372E-01
    0.265852E+01    0.256430E+01    0.123089E+01    0.915091E+00    0.321367E+00    0.865933E+00    0.109367E+00    0.865650E-01
    0.271974E+01    0.266495E+01    0.127681E+01    0.942413E+00    0.328666E+00    0.905996E+00    0.113642E+00    0.847700E-01
    0.278369E+01    0.276872E+01    0.134183E+01    0.970937E+00    0.340404E+00    0.960414E+00    0.118380E+00    0.838447E-01
    0.285036E+01    0.284391E+01    0.150258E+01    0.996381E+00    0.376326E+00    0.108719E+01    0.124387E+00    0.882136E-01
