#ENERGY  EPSILON1  EPSILON2     N       K     ABSCOEFF REFLECT ENERGYLOSS N-EFF
#2.00E-03          6.13E+05          5.11E+02 8.99E+04 .99582   2.40E-06   0.004
5.00E-03 -1.37E+04 1.55E+05 2.70E+02 2.94E+02 1.49E+05 .99325  6.25E-06   0.017
1.00E-02 -1.06E+04 7.92E+04 1.86E+02 2.14E+02 2.16E+05 .99072  1.24E-05   0.039
5.00E-02 -6.74E+03 1.30E+04 6.28E+01 1.03E+02 5.24E+05 .98298  6.07E-05   0.191
1.00E-01 -4.24E+03 4.25E+03 2.91E+01 7.11E+01 7.02E+05 .98067  1.21E-04   0.310
5.00E-01 -3.08E+02 6.04E+01 1.692    1.76E+01 8.83E+05 .97878  6.11E-04   0.506
1.00     -7.18E+01 7.39     0.433    8.46     8.55E+05 .97650  1.43E-03   0.539
1.50     -2.76E+01 2.73     0.260    5.26     7.99E+05 .96439  3.58E-03   0.552
1.70     -1.96E+01 1.98     0.223    4.43     7.64E+05 .95778  5.11E-03   0.556
1.75     -1.80E+01 1.82     0.214    4.24     7.53E+05 .95601  5.58E-03   0.556
1.80     -1.63E+01 1.72     0.213    4.05     7.38E+05 .95212  6.43E-03   0.557
1.85     -1.48E+01 1.66     0.215    3.86     7.23E+05 .94729  7.48E-03   0.558
1.90     -1.43E+01 1.57     0.214    3.67     7.06E+05 .94251  8.66E-03   0.559
2.00     -1.04E+01 1.76     0.272    3.24     6.56E+05 .91006  1.58E-03   0.561
2.10     -7.673    2.63     0.468    2.81     5.98E+05 .81350  4.01E-02   0.563
2.20     -6.086    4.30     0.826    2.60     5.80E+05 .67307  7.74E-02   0.567
2.30     -5.643    5.38     1.037    2.59     6.04E+05 .61838  8.85E-02   0.574
2.40     -5.519    5.83     1.121    2.60     6.33E+05 .60232  9.05E-02   0.581
2.6      -4.928    5.77     1.152    2.50     6.60E+05 .57703  1.00E-01   0.597
2.8      -4.216    5.52     1.169    2.36     6.70E+05 .54535  1.14E-01   0.614
3.0      -3.475    5.23     1.184    2.21     6.71E+05 .50910  1.33E-01   0.631
3.20     -2.757    5.09     1.232    2.07     6.71E+05 .46759  1.52E-01   0.648
3.40     -2.204    4.96     1.270    1.95     6.73E+05 .43365  1.68E-01   0.666
3.60     -1.789    4.90     1.310    1.87     6.83E+05 .40730  1.80E-01   0.685
3.80     -1.476    4.82     1.336    1.81     6.95E+05 .38700  1.90E-01   0.705
4.00     -1.146    4.62     1.334    1.72     6.97E+05 .36359  2.04E-01   0.725
4.20     -0.679    4.66     1.419    1.64     6.98E+05 .33569  2.10E-01   0.746
4.40     -0.467    4.87     1.487    1.64     7.30E+05 .32897  2.04E-01   0.769
4.60     -0.474    5.07     1.520    1.67     7.78E+05 .33441  1.95E-01   0.793
4.80     -0.586    5.26     1.533    1.71     8.34E+05 .34437  1.88E-01   0.820
5.00     -1.010    5.23     1.470    1.78     9.02E+05 .36583  1.84E-01   0.848
5.20     -1.334    4.95     1.378    1.80     9.48E+05 .37991  1.88E-01   0.876
5.40     -1.550    4.55     1.276    1.78     9.76E+05 .38951  1.97E-01   0.903
5.6      -1.611    4.11     1.183    1.74     9.85E+05 .39156  2.11E-01   0.929
5.8      -1.581    3.69     1.102    1.67     9.83E+05 .38897  2.29E-01   0.952
6.00     -1.464    3.30     1.036    1.59     9.69E+05 .37984  2.53E-01   0.974
6.50     -0.958    2.62     0.958    1.37     9.02E+05 .37883  3.36E-01   1.023
7.00     -0.497    2.34     0.972    1.20     8.52E+05 .27063  4.10E-01   1.068
7.5      -0.188    2.20     1.005    1.09     8.32E+05 .22955  4.51E-01   1.113
8.0      -0.007    2.12     1.029    1.03     8.37E+05 .20576  4.71E-01   1.159
8.50      0.100    2.02     1.029    9.79E-01 8.44E+05 .18905  4.95E-01   1.205
9.00      0.305    1.89     1.027    9.21E-01 8.40E+05 .17143  5.22E-01   1.251
9.50      0.406    1.78     1.029    8.67E-01 8.35E+05 .15460  5.44E-01   1.298
1.00E+01  0.407    1.70     1.038    8.18E-01 8.29E+05 .13909  5.57E-01   1.344
1.10E+01  0.587    1.62     1.074    7.54E-01 8.40E+05 .11772  5.46E-01   1.428 
1.20E+01  0.656    1.60     1.091    7.31E-01 8.90E+05 .11068  5.36E-01   1.539
1.30E+01  0.651    1.57     1.084    7.24E-01 9.54E+05 .10907  5.44E-01   1.648
1.40E+01  0.589    1.53     1.055    7.24E-01 1.03E+06 .11095  5.70E-01   1.763
1.45E+01  0.555    1.48     1.034    7.17E-01 1.05E+06 .11084  5.91E-01   1.821
1.50E+01  0.518    1.43     1.009    7.07E-01 1.07E+06 .11016  6.20E-01   1.879
1.55E+01  0.479    1.36     0.981    6.54E-01 1.09E+06 .10971  6.53E-01   1.937 
1.60E+01  0.458    1.28     0.954    6.31E-01 1.09E+06 .10651  6.91E-01   1.993
1.70E+01  0.449    1.13     0.913    6.24E-01 1.07E+06 .09699  7.63E-01   2.100
1.80E+01  0.477    9.98E-01 0.890    5.24E-01 1.02E+06 .08409  8.16E-01   2.200
1.95E+01  0.523    8.96E-01 0.813    5.17E-01 9.76E+05 .07121  8.32E-01   2.294
2.00E+01  0.571    8.02E-01 0.882    4.55E-01 9.22E+05 .05894  8.28E-01   2.383 
2.10E+01  0.635    7.36E-01 0.897    4.11E-01 8.74E+05 .04764  7.79E-01   2.468
2.20E+01  0.696    6.98E-01 0.917    3.81E-01 8.49E+05 .03978  7.19E-01   2.552
2.30E+01  0.756    6.90E-01 0.943    3.66E-01 8.52E+05 .03502  6.59E-01   2.636
2.40E+01  0.785    7.16E-01 0.961    3.73E-01 9.06E+05 .03521  6.34E-01   2.727
2.50E+01  0.765    7.61E-01 0.960    3.96E-01 1.00E+06 .03963  6.54E-01   2.825 
2.60E+01  0.685    7.42E-01 0.921    4.03E-01 1.06E+06 .04378  7.27E-01   2.930
2.70E+01  0.634    6.76E-01 0.884    3.82E-01 1.05E+06 .04329  7.87E-01   3.032
2.80E+01  0.624    5.97E-01 0.862    3.46E-01 9.82E+05 .03864  8.00E-01   3.125
2.90E+01  0.630    5.13E-01 0.849    3.02E-01 8.88E+05 .03247  7.77E-01   3.211
3.00E+01  0.664    4.48E-01 0.856    2.62E-01 7.95E+05 .02540  6.98E-01   3.287 
3.10E+01  0.711    4.19E-01 0.876    2.39E-01 7.51E+05 .02025  6.15E-01   3.358
3.20E+01  0.743    3.98E-01 0.891    2.23E-01 7.24E+05 .01707  5.60E-01   3.428
3.30E+01  0.767    3.85E-01 0.901    2.14E-01 7.15E+05 .01513  5.23E-01   3.497
3.40E+01  0.786    3.73E-01 0.910    2.05E-01 7.06E+05 .01359  4.93E-01   3.566
3.50E+01  0.801    3.64E-01 0.917    1.98E-01 7.04E+05 .01247  4.70E-01   3.635 
3.60E+01  0.812    3.55E-01 0.922    1.93E-01 7.03E+05 .01162  4.52E-01   3.705
3.70E+01  0.820    3.46E-01 0.925    1.87E-01 7.02E+05 .01088  4.37E-01   3.774
3.80E+01  0.827    3.34E-01 0.927    1.80E-01 6.93E+05 .01006  4.19E-01   3.844
3.90E+01  0.835    3.23E-01 0.930    1.74E-01 6.86E+05 .00932  4.03E-01   3.912
4.00E+01  0.845    3.12E-01 0.934    1.67E-01 6.76E+05 .00854  3.84E-01   3.990 
4.10E+01  0.854    3.02E-01 0.938    1.61E-01 6.70E+05 .00790  3.69E-01   4.048
4.20E+01  0.862    2.96E-01 0.942    1.57E-01 6.69E+05 .00740  3.56E-01   4.115
4.30E+01  0.869    2.91E-01 0.945    1.54E-01 6.71E+05 .00701  3.46E-01   4.183
4.40E+01  0.876    2.87E-01 0.948    1.51E-01 6.74E+05 .00670  3.38E-01   4.252
4.50E+01  0.879    2.82E-01 0.949    1.48E-01 6.77E+05 .00644  3.31E-01   4.321 
4.60E+01  0.882    2.77E-01 0.951    1.46E-01 6.80E+05 .00620  3.24E-01   4.390
4.70E+01  0.885    2.72E-01 0.951    1.43E-01 6.81E+05 .00596  3.18E-01   4.459
4.80E+01  0.886    2.67E-01 0.952    1.40E-01 6.81E+05 .00573  3.11E-01   4.529
4.90E+01  0.888    2.61E-01 0.952    1.37E-01 6.80E+05 .00549  3.05E-01   4.599
5.00E+01  0.890    2.55E-01 0.953    1.34E-01 6.77E+05 .00524  2.97E-01   4.668 
5.10E+01  0.892    2.48E-01 0.953    1.30E-01 6.72E+05 .00498  2.89E-01   4.736
5.20E+01  0.895    2.41E-01 0.954    1.26E-01 6.65E+05 .00469  2.80E-01   4.804
5.30E+01  0.898    2.35E-01 0.956    1.23E-01 6.61E+05 .00446  2.73E-01   4.872
5.40E+01  0.901    2.29E-01 0.957    1.20E-01 6.55E+05 .00421  2.65E-01   4.939
5.50E+01  0.905    2.23E-01 0.958    1.17E-01 6.50E+05 .00398  2.57E-01   5.006 
5.60E+01  0.909    2.18E-01 0.960    1.14E-01 6.46E+05 .00377  2.50E-01   5.073
5.70E+01  0.913    2.15E-01 0.962    1.12E-01 6.45E+05 .00360  2.44E-01   5.139
5.80E+01  0.917    2.12E-01 0.964    1.10E-01 6.47E+05 .00347  2.39E-01   5.206
5.90E+01  0.921    2.10E-01 0.966    1.09E-01 6.50E+05 .00335  2.35E-01   5.273
6.00E+01  0.922    2.10E-01 0.966    1.09E-01 6.62E+05 .00335  2.35E-01   5.342 
6.10E+01  0.922    2.08E-01 0.966    1.08E-01 6.67E+05 .00329  2.33E-01   5.411
6.20E+01  0.920    2.06E-01 0.965    1.07E-01 6.71E+05 .00325  2.32E-01   5.480
6.30E+01  0.920    2.01E-01 0.965    1.04E-01 6.66E+05 .00313  2.27E-01   5.549
6.40E+01  0.921    1.96E-01 0.965    1.02E-01 6.60E+05 .00299  2.22E-01   5.618
6.50E+01  0.923    1.91E-01 0.966    9.90E-02 6.52E+05 .00283  2.15E-01   5.685 
6.60E+01  0.925    1.86E-01 0.964    9.63E-02 6.44E+05 .00268  2.09E-01   5.752
6.70E+01  0.928    1.83E-01 0.968    9.45E-02 6.42E+05 .00257  2.05E-01   5.819
6.80E+01  0.929    1.80E-01 0.968    9.27E-02 6.39E+05 .00247  2.00E-01   5.885
6.90E+01  0.933    1.76E-01 0.970    9.08E-02 6.35E+05 .00235  1.96E-01   5.951
7.00E+01  0.937    1.74E-01 0.972    8.93E-02 6.34E+05 .00225  1.91E-01   6.017 
7.10E+01  0.940    1.71E-01 0.974    8.81E-02 6.34E+05 .00217  1.88E-01   6.084
7.20E+01  0.943    1.69E-01 0.975    8.68E-02 6.33E+05 .00209  1.84E-01   6.150
7.30E+01  0.947    1.67E-01 0.977    8.57E-02 6.34E+05 .00202  1.81E-01   6.216
7.40E+01  0.952    1.67E-01 0.979    8.50E-02 6.38E+05 .00195  1.78E-01   6.283
7.50E+01  0.959    1.71E-01 0.983    8.72E-02 6.63E+05 .00200  1.81E-01   6.352 
7.60E+01  0.959    1.79E-01 0.984    9.10E-02 7.01E+05 .00217  1.88E-01   6.424
7.70E+01  0.955    1.81E-01 0.982    9.21E-02 7.19E+05 .00224  1.91E-01   6.500
7.80E+01  0.952    1.84E-01 0.980    9.36E-02 7.40E+05 .00233  1.95E-01   6.577
7.90E+01  0.949    1.84E-01 0.979    9.41E-02 7.53E+05 .00237  1.97E-01   6.656
8.00E+01  0.945    1.85E-01 0.977    9.46E-02 7.67E+05 .00243  1.99E-01   6.736 
8.10E+01  0.940    1.84E-01 0.974    9.43E-02 7.74E+05 .00244  2.00E-01   6.817
8.20E+01  0.937    1.82E-01 0.973    9.34E-02 7.76E+05 .00243  1.99E-01   6.898
8.30E+01  0.934    1.79E-01 0.971    9.23E-02 7.77E+05 .00241  1.98E-01   6.979
8.40E+01  0.930    1.77E-01 0.969    9.11E-02 7.76E+05 .00239  1.97E-01   7.059
8.60E+01  0.935    1.69E-01 0.966    8.77E-02 7.64E+05 .00229  1.91E-01   7.219 
8.80E+01  0.931    1.61E-01 0.963    8.34E-02 7.44E+05 .00215  1.84E-01   7.374
9.00E+01  0.931    1.52E-01 0.963    7.88E-02 7.19E+05 .00197  1.74E-01   7.524
9.20E+01  0.931    1.43E-01 0.963    7.44E-02 6.93E+05 .00179  1.65E-01   7.670
9.50E+01  0.936    1.34E-01 0.965    6.93E-02 6.68E+05 .00156  1.53E-01   7.879
1.00E+02  0.931    1.26E-01 0.967    6.53E-02 6.61E+05 .00138  1.43E-01   8.223 
1.05E+02  0.933    1.21E-01 0.968    6.25E-02 6.65E+05 .00127  1.37E-01   8.568
1.10E+02  0.933    1.16E-01 0.968    5.99E-02 6.68E+05 .00119  1.31E-01   8.913
1.20E+02  0.928    1.04E-01 0.965    5.40E-02 6.57E+05 .00108  1.20E-01   9.605
1.50E+02  0.938    6.01E-02 0.969    3.10E-02 4.71E+05 .00050  6.80E-02  11.302
2.00E+02  0.956    3.12E-02 0.978    1.59E-02 3.23E+05 .00019  3.41E-02  13.325 
